1,2,3,4,5,6,7,8,Simple Display,Description,Type,HSSP2 Strategic Objective,New HSSP2 Strat Obj (if changed),HSSP2 Strategic Program,New HSSP2 Strat Prog (if changed),Official (long) name,ID,,,,,,,,,,,,,,,,,,,,
,,,,,,Post-exposure Prophylaxis,,Post-exposure Prophylaxis,"Post exposure prophylaxis covers the provision of health care services to reduce the likelihood of
HIV infection after potential exposure@ either occupationally or through sexual intercourse (WHO).
Includes:
- Short course of ARV drugs
- Paramedical exams necessary to test sources for HIV
- Appropriate counseling
",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.12   Other public health programs (including OI @ psychosocial support)  1.19 Post-exposure prophylaxis,1427,,,,,,,,,,,,,,,,,,,,
,,,,,,Abstinence/ Be Faithful programmes,,Abstinence/ Be Faithful programmes,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.4.1   Abstinence/ Be Faithful programmes,1428,,,,,,,,,,,,,,,,,,,,
,,,,,,Other IEC/BCC programmes,,Other IEC/BCC programmes,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.4.2   Other IEC/BCC programmes,1429,,,,,,,,,,,,,,,,,,,,
,,,,,Prevention Programs for Female Sex Workers,,,Prevention Programs for Female Sex Workers,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.1.3 - Female sex workers are reached by comprehensive prevention programs,1430,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevention Programs for Female Sex Workers,,Prevention Programs for Female Sex Workers,"Programmes to promote risk-reduction measures including outreach (including by peers)@ voluntary and confdential HIV counselling and testing@ prevention of sexual transmission of HIV (including condoms and prevention and treatment of STIs) and consistent access to male and female condoms. Interpersonal communication (face-to-face) to reach sex workers at risk, programmes on developing and acquiring skills to negotiate safer behaviour@ behaviour change and sustained engagement to prevent HIV infection.",Nha,b. Prevention and control of diseases,,Quality Assurance,, HC.6.3.1.4.2   Other IEC/BCC programmes   1.8 Programs for sex workers and their clients,1431,,,,,,,,,,,,,,,,,,,,
,,,,,Vulnerable Population Programs,,,Vulnerable Population Programs,"Programmes that focus on men who regularly or occasionally have sex with other men. These programmes include risk-reduction activities@ outreach (including by peers)@ voluntary and confdential HIV counselling and testing@ and prevention of sexual transmission of HIV (including condoms@ prevention and treatment of STIs). Interpersonal communication (face-to-face) to reach MSM
at risk, programmes on developing and acquiring skills to negotiate safer behaviour@ behaviour change and sustained engagement to prevent HIV infection.",Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.1.4 Other vulnerable and most at risk populations are reached with comprehensive prevention programmes  ,1432,,,,,,,,,,,,,,,,,,,,
,,,,,,Other Vulnerable Population Programs,,Other Vulnerable Population Programs,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.4.2   Other IEC/BCC programmes,1433,,,,,,,,,,,,,,,,,,,,
,,,,,,,Prevention for Youth in School,Prevention for Youth in School,"Programmes that focus on young people enrolled in primary and secondary schools. Prevention programmes in school include a full complement of tools to prevent HIV transmission. These comprise a comprehensive@ appropriate@ evidence-based and skills-based sex education, youth-friendly health services offering core interventions for the prevention of transmission through unsafe drug injecting practices, and consistent access to male and female condoms. A critical element is the integration into school-based settings of life-skills-education programmes. Skills-based health education and interactive teaching methods have been shown to promote healthy lifestyles and to reduce risky behaviour. The life-skills-based HIV education in schools is a didactic and specifc learning process that teaches young people to understand and assess the individual@ social@ and environmental factors that raise and lower the risk of HIV transmission. (Teacher training-when measurement is required-should \be measured in accordance with the latest UNICEF guidelines.) To track benefts@ the accountant may wish to report expenditure on life-skills activities in both primary and secondary schools as a part of the education system spending (either independent or jointly with the health system). This programme should be coded and cross-classifed with the specifc benefciary populations receiving the services@ principally young people enrolled in primary and secondary schools
(aged 6-11 and 12-15).",Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.5. Prevention - Youth in school,1434,,,,,,,,,,,,,,,,,,,,
,,,,,,,Prevention Programs for Youth out of School,Prevention Programs for Youth out of School,"Programmes that focus on young people aged between 6 and 15 out of school. The tools of these programmes are comprehensive@ appropriate@ evidence-based and skills-based sexual education, youth-friendly health services (through
drop-in centres or outreach work) offering core interventions for the prevention of the transmission, and consistent access to male and female condoms. The cost of training peer educators for peer outreach working with youth out of school should be included under this category",Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.6 Youth out of school,1435,,,,,,,,,,,,,,,,,,,,
,,,,,,,Prevention Programs for MSM,Prevention Programs for MSM,,Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.9 Programs for MSM,1436,,,,,,,,,,,,,,,,,,,,
,,,,,,,Prevention Programs for IDUs,Prevention Programs for IDUs,"Regarding drug injections@ HIV harm reduction programs cover a wide range of health care
services that aim at preventing HIV transmission through sharing of non-sterile injection equipment
and drug preparations (WHO).
Includes:
- Needle exchange program
- Drug substitution treatment
Excludes:
- Information@ education@ and communication (IEC) on HIV transmission through injecting
drug use",Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.10 Harm reduction programs for IDUs,1437,,,,,,,,,,,,,,,,,,,,
,,,,,,,Workplace Prevention Programs,Workplace Prevention Programs,Programmes that focus on reducing risk factors in the workplace. These provide HIV prevention services for employees and the families of employees including: male and female condom distribution@ up-to-date information@ education and communication on HIV prevention@ peer education@ and any other communication for behaviour change activities.,Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.11 Workplace activities,1438,,,,,,,,,,,,,,,,,,,,
,,,,,,,1.04 Risk-reduction for vulnerable and accessible populations,1.04 Risk-reduction for vulnerable and accessible populations,These populations include specifc vulnerable groups such as indigenous groups@ recruits@ truck drivers@ prisoners@ and migrants. Special attention should be given to those people in situations of confict@ i.e. refugee situation and internal displacement. It excludes most at risk populations (MARPs) activities covered by other categories in this section,Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.04 Risk-reduction for vulnerable and accessible populations,1439,,,,,,,,,,,,,,,,,,,,
,,,,,,,Community Mobilzation,Community Mobilzation,"Activities that create community commitment and involvement in achieving programme goals. This includes@ but is not limited to: involvement of
community groups (e.g. neighbours of PLHIV or OVC) in programme planning and mobilization of community resources@ peer education@ including training of peer educators on prevention@ support groups@ and self-representation. These activities are aimed at behaviour change and risk reduction but are focused mainly on small communities` members rather than on the broader population. These activities are usually performed by the community members to target their own community.",Nha,b. Prevention and control of diseases,,Quality Assurance,,1.02 Community Mobilization,1440,,,,,,,,,,,,,,,,,,,,
,,,,,Prevention Among Positivies,,,Prevention Among Positivies,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.1.5 People living with HIV including sero-discordant cohabitating couples are provided with positive prevention services ,1441,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevention Among Positivies,,Prevention Among Positivies,Programmes to reduce risky behaviours by infected people are aimed to decrease the rate of infection in the population. The goal is to empower people living with HIV to avoid acquiring new STIs and prevent the transmission of HIV to others. ,Nha,b. Prevention and control of diseases,,Quality Assurance,, HC.6.3.1.12   Other public health programs (including OI @ psychosocial support) 1.7 Prevention programs for PLHA ,1442,,,,,,,,,,,,,,,,,,,,
,,,,,Prevention Programs related to Sexual or GBV,,,Prevention Programs related to Sexual or GBV,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.1.6 HIV infections resulting from sexual or gender-base violence are prevented  programs (including OI @ psychosocial support),1443,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevention Programs related to Sexual or GBV,,Prevention Programs related to Sexual or GBV,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.12   Other public health,1444,,,,,,,,,,,,,,,,,,,,
,,,,,Condom Distribution Programs,,,Condom Distribution Programs,"Condom distribution program covers a range of activities to promote the adoption of policies and
strategies aiming at increasing the acceptability@ availability@ and use of condoms (WHO).
Includes: Activities that increase access to condoms@ such as distribution or social marketing.
Excludes: Education programs to promote condom use.",Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.1.7 Male and female condoms are available and accessible for all populations programmes  ,1445,,,,,,,,,,,,,,,,,,,,
,,,,,,Condom Distribution Programs,,Condom Distribution Programs,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.7   Condom distribution,1446,,,,,,,,,,,,,,,,,,,,
,,,,,,,Female Condom Distribution and Provision,Female Condom Distribution and Provision,"Public and commercial sector female condom provision refers to procure-
ment of female condoms regardless of the mode of distribution (cost-free@ subsidized or commercially priced, accessibility to women). The fraction of female condoms attributable exclusively to birth control should be subtracted from the total numbers of condoms estimated for this category and added to the family planning categories. Female condom distribution as part of programmes for vulnerable@ accessible@ and most-at-risk populations should be coded in their corresponding category in this section.",Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.14 Female condom,1447,,,,,,,,,,,,,,,,,,,,
,,,,,,,Condom Provision in Public and Commercial Sector,Condom Provision in Public and Commercial Sector,"Public and commercial sector male condom provision refers to procurement of male condoms regardless of mode of distribution (cost-free@ subsidized or commercially priced, accessibility to the general population or to specifc groups). This includes the fungibles (condoms) and any other cost incurred in the distribution and provision. Nonetheless@ not all the condoms distributed have a HIV prevention component (some people use condoms exclusively for birth control purposes). There are different approaches to estimate the expenditures on HIV-related condom use. One recommended approach is to use nationally available demographic surveys or sexual behaviour surveys to ascertain the fraction of condoms attributable exclusively to birth control. ",Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.13 Public and commercial sector condom provision,1448,,,,,,,,,,,,,,,,,,,,
,,,,,,,Social Marketing of Condoms,Social Marketing of Condoms,"Condom social marketing refers to programmes that make condoms more accessible and acceptable. They include public campaigns to promote the purchase and use of condoms and exclude commercials made by corporations and procurement programmes as a public service. Programmatic interventions to promote the use of condoms as part of programmes
for vulnerable@ accessible@ and most-at-risk populations should be coded in their corresponding categories based on targeted population",Nasa,b. Prevention and control of diseases,,Quality Assurance,,1.12 Condom social marketing,1449,,,,,,,,,,,,,,,,,,,,
,,,,Microbicides,,,,Microbicides,"Microbicides refers to procurement of compounds applied inside the vagina or
rectum to confer protection against STI.",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.12   Other public health programs (including OI @ psychosocial support)  1.15 Microbicides,1450,,,,,,,,,,,,,,,,,,,,
,,,,Male Circumcision,,,,Male Circumcision,"Male circumcision refers to the removal of the prepuce or foreskin covering the
tip of the penis. It is important to identify an intention to prevent HIV when performing the
male circumcision. Male circumcisions are performed in many countries as a usual practice and
not related to a particular HIV programmatic intervention. When male circumcisions are part of
country-specifc programmatic HIV prevention activities@ the cost of these interventions should
be recorded here. Expenditures related to the promotion of male circumcision as part of an HIV
preventive programme should also be accounted for here.",Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.2 Increased prevalence of male circumcision,1451,,,,,,,,,,,,,,,,,,,,
,,,,,Male Circumcision,,,Male Circumcision,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.2.1 Newborn boys@ adolescents and adults have increased access to circumcision ,1452,,,,,,,,,,,,,,,,,,,,
,,,,,,Male Circumcision,,Male Circumcision,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.12   Other public health programs (including OI @ psychosocial support)  1.18 Male Circumcision,1453,,,,,,,,,,,,,,,,,,,,
,,,,STI Treatment,,,,STI Treatment,"STI management includes all specialized medical and diagnostics services provided tooutpatients during an episode of infection spread by the transfer of organisms from one person toanother during sexual contact. As ulcerative STIs are known to be a co-factor in HIV transmission@STI management is a key area in the HIV/AIDS response (UNAIDS). Other than HIV@ the most common STIs are syphilis, gonorrhoea, chlamydia trachomatis, human papilloma virus (HPV),
genital herpes, chancroid, genital mycoplasmas, hepatitis B, trichomoniasis, enteric infections, andectoparasitic diseases (UNAIDS).
Includes: This item includes secondary prevention services only. Secondary prevention aims at detecting and treating infected people through screening programs and treatment of infected people.
Excludes: For NHA classification purposes@ this item does not include:
- Primary prevention such as health education
- HIV-related treatment
",Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.3 Increased quality treatment of STIs 1.16 Improving management of STIs,1454,,,,,,,,,,,,,,,,,,,,
,,,,,Increasing Awareness of STI symptoms and Demand for Treatment,,,Increasing Awareness of STI symptoms and Demand for Treatment,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.3.1 Increased Awareness of STI symptoms and demand for STI treatment,1455,,,,,,,,,,,,,,,,,,,,
,,,,,,Improving Management of STIs,,Improving Management of STIs,"STI prevention is mainly (1) primary prevention that seeks to reduce the acquisition of infection
and (2) secondary prevention that aims at detecting and treating cases. This item should focus on
primary prevention only",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.5   STI prevention programmes ,1456,,,,,,,,,,,,,,,,,,,,
,,,,,Increasing Availability of high-quality STI treatment,,,Increasing Availability of high-quality STI treatment,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.3.2 Increased availability and accessibility of high quality STI treatment   ,1457,,,,,,,,,,,,,,,,,,,,
,,,,,,STI Treatment,,STI Treatment,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC. 1.3.5 OP STI Management,1458,,,,,,,,,,,,,,,,,,,,
,,,PMTCT Programs,,,,,PMTCT Programs,"PMTCT usually covers a range of health care services including but not limited to the prevention
of HIV transmission from HIV-infected women to their infants through the provision of ARV drugs
to HIV-infected pregnant women and their infants after birth.
Excludes: For NHA HIV/AIDS functions classifications@ activities integrated into PMTCT
services such as VCT and STI management@ are not captured under PMTCT services. Specific
attention should be given not to double-count those activities under PMTCT.",Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.2 Reduced mother to child transmission of HIV,1459,,,,,,,,,,,,,,,,,,,,
,,,,PMTCT Programs,,,,PMTCT Programs,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.2.1 Transmission of HIV during pregnancy@ childbirth@ and breastfeeding is reduced   ,1460,,,,,,,,,,,,,,,,,,,,
,,,,,1.1 Increased availability and accessibility of PMTCT services,,,1.1 Increased availability and accessibility of PMTCT services,Prevention of mother-to-child transmission (PMTCT) refers to services aimed at avoiding mother-to-child HIV transmission. These include counselling and testing for pregnant women@ antiretroviral prophylaxis for HIV-positive pregnant women and neonates@ counselling and support for safe infant feeding practices. PMTCT-plus ARV-treatments should be coded under antiretroviral therapy. When a HIV-positive woman receives antiretroviral therapy before she knows she is pregnant and no change in the antiretroviral prescription occurs@ the antiretroviral treatment should be included under ARV therapy.,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.2.1.1 Increased availability and accessibility of PMTCT services,1461,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevention of Mother-to-Child Transmission,,Prevention of Mother-to-Child Transmission,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.1.1   PMTCT  1.17 Prevention of mother-to-child transmission,1462,,,,,,,,,,,,,,,,,,,,
,,,,,1.2 All HIV positive pregnant women completed the full PMTCT program,,,1.2 All HIV positive pregnant women completed the full PMTCT program,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.2.1.2 All HIV positive pregnant women completed the full PMTCT program,1463,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevention of Mother-to-Child Transmission,,Prevention of Mother-to-Child Transmission,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.1.1   PMTCT  1.17 Prevention of mother-to-child transmission,1464,,,,,,,,,,,,,,,,,,,,
,,,,2. HIV positive women are empowered to take informed reproductive health decisions,,,,2. HIV positive women are empowered to take informed reproductive health decisions,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.2.2. HIV positive women are empowered to take informed reproductive health decisions,1465,,,,,,,,,,,,,,,,,,,,
,,,,,2.1 HIV positive women have access to family planning,,,2.1 HIV positive women have access to family planning,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.2.2.1 HIV positive women have access to family planning,1466,,,,,,,,,,,,,,,,,,,,
,,,Maintenance of low levels of blood-borne transmission of HIV,,,,,Maintenance of low levels of blood-borne transmission of HIV,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.3 Maintenance of low levels of blood-borne transmission of HIV,1467,,,,,,,,,,,,,,,,,,,,
,,,,1.1 Blood borne HIV transmission in clinical environments is reduced,,,,1.1 Blood borne HIV transmission in clinical environments is reduced,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.3.1.1 Blood borne HIV transmission in clinical environments is reduced,1468,,,,,,,,,,,,,,,,,,,,
,,,,,Blood Safety,,,Blood Safety,"Blood safety covers the public health services ensuring the provision of safe@ adequate and
quality blood and blood products for all patients requiring transfusion (WHO). Blood safety includes
but is not limited to blood screening. It covers a wide range of health care services such as donor
promotion (education@ recruitment@ and retention of donors).
",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.2.1   Blood Safety  1.18 Blood safety,1469,,,,,,,,,,,,,,,,,,,,
,,,,,Medical Injection Safety,,,Medical Injection Safety,"Medical transmission/injection safety targets the development of policies@ in-service training@ advocacy@ and other activities to promote (medical) injection safety. They include distribution/supply chain@ cost@ and appropriate disposal of
injection equipment and other related equipment and supplies. Only expenditure targeting the
prevention of HIV transmission should be included.",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.10   Injection Safety  1.20 Safe medical injections,1470,,,,,,,,,,,,,,,,,,,,
,,,,,Universal Precautions,,,Universal Precautions,Universal precautions  (when the main or exclusive purpose to implement them is to limit HIV transmission) refer to the use of gloves@ masks@ and gowns by health care personnel to avoid HIV infection through contaminated blood. These are standard infection control practices to be used universally in health care settings to minimize the risk of exposure to pathogens@ e.g. the use of gloves@ barrier clothing@ masks@ and goggles to prevent exposure to tissue@ blood and body fuids@ waste-management systems (except disposal of injection equipment@ tracked under Safe medical injections). This activity aims to target health care workers. Universal precautions are shared across the health system and are not AIDS-specifc. Expenditures within universal precautions are limited to those specifcally aimed to prevent the transmission of HIV in health care facilities. Expenditure on safety procedures in blood banks may not be separable from the other costs incurred by that activity and are reported under Blood safety.,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.2.1   Blood Safety  / 1.22 Universal precautions,1471,,,,,,,,,,,,,,,,,,,,
,,,,1.2 All blood donated for transfusion is screened for HIV,,,,1.2 All blood donated for transfusion is screened for HIV,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.3.1.2 All blood donated for transfusion is screened for HIV,1472,,,,,,,,,,,,,,,,,,,,
,,,,,Blood Safety,,,Blood Safety,Blood safety (including blood products and donated organs) expenditures and investment in activities supporting a nationally coordinated blood programme to prevent HIV transmission. This category included policies@ infrastructure@ equipment@ and supplies for testing activities and management to ensure a safe supply of blood and blood products.,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.2.1   Blood Safety  1.19 Blood safety,1473,,,,,,,,,,,,,,,,,,,,
,,,,1.3 Blood-borne HIV transmission outside clinical environments is reduced,,,,1.3 Blood-borne HIV transmission outside clinical environments is reduced,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.3.1.3 Blood-borne HIV transmission outside clinical environments is reduced,1474,,,,,,,,,,,,,,,,,,,,
,,,Voluntary Counseling and Testing (VCT) For Prevention,,,,,Voluntary Counseling and Testing (VCT) For Prevention,"VCT covers the provision of health services by which an individual undergoes counseling to
enable him/her to make an informed choice about being tested for HIV (UNAIDS). Various models
of VCT services are freestanding@ integrated into other services@ and outreach.
Includes: The following activities are included:
- Paramedical services and laboratory tests needed to analyze for the presence of antibodies or
 antigens produced in response to HIV (WHO)
- The provision of HIV/AIDS-related information@ pretest-counseling@ post-test counseling@
 and referral to treatment services
- For NHA HIV/AIDS function classifications@ specific attention should be given not to
 double-count VCT when integrated into other services.

Prevention-focused VCT aims to informs individuals of their status so they can choose HIV reduction strategies wisely.",Nha,b. Prevention and control of diseases,,Quality Assurance,,,1713,,,,,,,,,,,,,,,,,,,,
,,,,Provider-Initiated Counseling and Testing for Prevention,,,,Provider-Initiated Counseling and Testing for Prevention,"Provider-initiated testing and counselling (PITC) refers to the expenditures related to the delivery of HIV testing for diagnostic purposes. Under certain circumstances@ when an individual is seeking medical care@ HIV testing may be offered. This may 
be part of the diagnosis-the patient presents symptoms that may be attributable to HIV or has an illness associated with HIV@ such as tuberculosis-or this may be a routine offer to an asymptomatic person. For example@ HIV testing may be offered as part of the clinical evaluation of patients with STIs. 
The cost of testing includes an initial test@ followed by a confrmatory test if reactive. The cost of PITC includes the entire provision process: physician@ laboratory@ and post-test counselling. PITC excludes the testing under PMTCT. Voluntary counselling and testing is a preventive intervention@ and must be coded under Voluntary counselling and testing (VCT).",Nha,b. Prevention and control of diseases,,Quality Assurance,,,1718,,,,,,,,,,,,,,,,,,,,
,,,,Voluntary Counseling and Testing for Prevention,,,,Voluntary Counseling and Testing for Prevention,"VCT covers the provision of health services by which an individual undergoes counseling to
enable him/her to make an informed choice about being tested for HIV (UNAIDS). Various models
of VCT services are freestanding@ integrated into other services@ and outreach.
Includes: The following activities are included:
- Paramedical services and laboratory tests needed to analyze for the presence of antibodies or
 antigens produced in response to HIV (WHO)
- The provision of HIV/AIDS-related information@ pretest-counseling@ post-test counseling@
 and referral to treatment services
- For NHA HIV/AIDS function classifications@ specific attention should be given not to
 double-count VCT when integrated into other services.
",Nha,b. Prevention and control of diseases,,Quality Assurance,,,1719,,,,,,,,,,,,,,,,,,,,
,,Fight Against Tuberculosis And Leprosis,,,,,,Fight Against Tuberculosis And Leprosis,,Mtef,b. Prevention and control of diseases,,Quality Assurance,,03  FIGHT AGAINST TUBERCULOSIS AND LEPROSIS,1475,,,,,,,,,,,,,,,,,,,,
,,Fight Against Endemic Diseases,,,,,,Fight Against Endemic Diseases,,Mtef,b. Prevention and control of diseases,,Quality Assurance,,04  FIGHT AGAINST ENDEMIC DISEASES,1476,,,,,,,,,,,,,,,,,,,,
,,Fight Against Diseases Of Children,,,,,,Fight Against Diseases Of Children,"Spending during a specified period of time on goods@ services and activities
delivered to the child or its caretaker after the birth of the child and
whose primary purpose is to restore@ improve and maintain the health of children
 of a country between zero and less than five years of age.",Mtef,b. Prevention and control of diseases,,Quality Assurance,,05  FIGHT AGAINST DISEASES OF CHILDREN,1477,,,,,,,,,,,,,,,,,,,,
,,,Child Health Programs,,,,,Child Health Programs,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.1.3 CH Programs,1478,,,,,,,,,,,,,,,,,,,,
,,,HIV Programs for CH,,,,,HIV Programs for CH,Management of HIV/AIDS exposed children@ HIV treatment for individuals < 5 years of age,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.1.3.1 HIV Programs for CH,1479,,,,,,,,,,,,,,,,,,,,
,,,Malaria Programs for CH,,,,,Malaria Programs for CH,Management of Malaria cases in children < 5 years of age,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.1.3.2 Malaria Programs for CH,1480,,,,,,,,,,,,,,,,,,,,
,,,Immunization Programs for CH,,,,,Immunization Programs for CH,Management of Immunization Programs for children <5 years of age,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.1.3.3 Immunization Programs for CH,1481,,,,,,,,,,,,,,,,,,,,
,,,Other Programs for CH,,,,,Other Programs for CH,Other programs targeting children < 5 years of age,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.1.3.5 Other Programs for CH,1482,,,,,,,,,,,,,,,,,,,,
,,Fight Against Malnutrition,,,,,,Fight Against Malnutrition,,Mtef,b. Prevention and control of diseases,,Quality Assurance,,06  FIGHT AGAINST MALNUTRITION,1483,,,,,,,,,,,,,,,,,,,,
,,,Nutrition Programs for CH,,,,,Nutrition Programs for CH,Nutrition programs targeting children < 5 years of age,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.1.3.4 Nutrition Programs for CH,1484,,,,,,,,,,,,,,,,,,,,
,,,Other Nutrition Programs,,,,,Other Nutrition Programs,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HCR.4.1 Other Nutrition Programs,1485,,,,,,,,,,,,,,,,,,,,
,,Promotion Of Hygiene And Environmental Health,,,,,,Promotion Of Hygiene And Environmental Health,,Mtef,b. Prevention and control of diseases,,Quality Assurance,,07  PROMOTION OF HYGIENE AND ENVIRONMENTAL HEALTH,1486,,,,,,,,,,,,,,,,,,,,
,,Fight Against Non-Communicable Diseases,,,,,,Fight Against Non-Communicable Diseases,,Mtef,b. Prevention and control of diseases,,Quality Assurance,,08  FIGHT AGAINST THE NON COMMUNICABLE DISEASES,1487,,,,,,,,,,,,,,,,,,,,
,,Other prevention activities,,,,,,Other prevention activities,,,b. Prevention and control of diseases,,Quality Assurance,,,,,,,,,,,,,,,,,,,,,,,
,Support of Higher Education for Health,,,,,,,Support of Higher Education for Health,,Mtef,Across all 3 objectives,,Quality Assurance,,11  HIGH EDUCATION,1488,,,,,,,,,,,,,,,,,,,,
,,Management Support,,,,,,Management Support,,Mtef,Across all 3 objectives,,Quality Assurance,,01  MANAGEMENT SUPPORT,1489,,,,,,,,,,,,,,,,,,,,
,,,Medicine,,,,,Management Support,,Mtef,Across all 3 objectives,,Quality Assurance,,01  MANAGEMENT SUPPORT,,,,,,,,,,,,,,,,,,,,,
,,,Nursing,,,,,Management Support,,Mtef,Across all 3 objectives,,Quality Assurance,,01  MANAGEMENT SUPPORT,,,,,,,,,,,,,,,,,,,,,
,,,Public Health,,,,,Management Support,,Mtef,Across all 3 objectives,,Quality Assurance,,01  MANAGEMENT SUPPORT,,,,,,,,,,,,,,,,,,,,,
,,,Allied Health,,,,,Management Support,,Mtef,Across all 3 objectives,,Quality Assurance,,01  MANAGEMENT SUPPORT,,,,,,,,,,,,,,,,,,,,,
,,Laboratory Equipment,,,,,,Laboratory Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,02  LABORATORY EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,,,,,Laboratory Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,02  LABORATORY EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
,,,Nursing,,,,,Laboratory Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,02  LABORATORY EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
,,,Public Health,,,,,Laboratory Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,02  LABORATORY EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
,,,Allied Health,,,,,Laboratory Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,02  LABORATORY EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
,,Construction and Equipment,,,,,,Construction and Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,03  CONSTRUCTION AND EQUIPMENTS,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,,,,,Construction and Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,03  CONSTRUCTION AND EQUIPMENTS,,,,,,,,,,,,,,,,,,,,,
,,,Nursing,,,,,Construction and Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,03  CONSTRUCTION AND EQUIPMENTS,,,,,,,,,,,,,,,,,,,,,
,,,Public Health,,,,,Construction and Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,03  CONSTRUCTION AND EQUIPMENTS,,,,,,,,,,,,,,,,,,,,,
,,,Allied Health,,,,,Construction and Equipment,,Mtef,Across all 3 objectives,,Quality Assurance,,03  CONSTRUCTION AND EQUIPMENTS,,,,,,,,,,,,,,,,,,,,,
,,Education and Training,,,,,,Education and Training,,Mtef,Across all 3 objectives,,Quality Assurance,,04  Educationa nd training,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,,,,,Education and Training,,Mtef,Across all 3 objectives,,Quality Assurance,,04  Educationa nd training,,,,,,,,,,,,,,,,,,,,,
,,,Nursing,,,,,Education and Training,,Mtef,Across all 3 objectives,,Quality Assurance,,04  Educationa nd training,,,,,,,,,,,,,,,,,,,,,
